energy,tempo,danceability,playlist_genre,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,track_href,uri,track_album_name,playlist_name,analysis_url,track_id,track_name,track_album_release_date,instrumentalness,track_album_id,mode,key,duration_ms,acousticness,id,playlist_subgenre,type,playlist_id
0.572,131.272,0.636,rock,-7.797,0.0878,0.66,Big Thief,4,0.0913,73,https://api.spotify.com/v1/tracks/0ToG55iJZCOzZkcpWbXxpW,spotify:track:0ToG55iJZCOzZkcpWbXxpW,Vampire Empire,Feel Good Indie Rock,https://api.spotify.com/v1/audio-analysis/0ToG55iJZCOzZkcpWbXxpW,0ToG55iJZCOzZkcpWbXxpW,Vampire Empire,2023-07-19,0.0,2Msefc9DYHFMTNY6zuCOIm,1,9,192128,0.287,0ToG55iJZCOzZkcpWbXxpW,feel-good,audio_features,37i9dQZF1DX2sUQwD7tbmL
0.76,130.096,0.512,korean,-5.889,0.103,0.495,Jung Kook,4,0.0682,68,https://api.spotify.com/v1/tracks/7CAdT0HdiQNlt1C7xk2hep,spotify:track:7CAdT0HdiQNlt1C7xk2hep,Stay Alive (Prod. SUGA of BTS),K-Drama OSTs,https://api.spotify.com/v1/audio-analysis/7CAdT0HdiQNlt1C7xk2hep,7CAdT0HdiQNlt1C7xk2hep,Stay Alive (Prod. SUGA of BTS),2022-02-11,0.0,6nvSZLAsbg56fGSCVm8fL9,0,2,210928,0.299,7CAdT0HdiQNlt1C7xk2hep,drama,audio_features,37i9dQZF1DWUXxc8Mc6MmJ
0.774,130.007,0.867,hip-hop,-5.791,0.157,0.549,Key Glock,4,0.315,69,https://api.spotify.com/v1/tracks/03ThZweiBWFP8tOGsk6QMO,spotify:track:03ThZweiBWFP8tOGsk6QMO,Glock Bond,Gangster Rap,https://api.spotify.com/v1/audio-analysis/03ThZweiBWFP8tOGsk6QMO,03ThZweiBWFP8tOGsk6QMO,Russian Cream,2018-02-02,0.0,1J4REuUZfX1OjjQhi9whzA,0,11,142498,0.11,03ThZweiBWFP8tOGsk6QMO,gangster,audio_features,6mODZNt8CYYEBrWAyS5vs4
0.449,84.383,0.623,rock,-13.333,0.0613,0.573,Tom Petty,4,0.0253,75,https://api.spotify.com/v1/tracks/5tVA6TkbaAH9QMITTQRrNv,spotify:track:5tVA6TkbaAH9QMITTQRrNv,Full Moon Fever,80s Rock Anthems,https://api.spotify.com/v1/audio-analysis/5tVA6TkbaAH9QMITTQRrNv,5tVA6TkbaAH9QMITTQRrNv,Free Fallin',1989-01-01,0.0,5d71Imt5CIb7LpQwDMQ093,1,5,256000,0.212,5tVA6TkbaAH9QMITTQRrNv,80s,audio_features,37i9dQZF1DX1spT6G94GFC
0.567,75.965,0.574,gaming,-7.126,0.258,0.526,"JID, 21 Savage, Baby Tate",4,0.465,78,https://api.spotify.com/v1/tracks/1udwFobQ1JoOdWPQrp2b6u,spotify:track:1udwFobQ1JoOdWPQrp2b6u,The Forever Story (Extended Version),Top Gaming Tracks,https://api.spotify.com/v1/audio-analysis/1udwFobQ1JoOdWPQrp2b6u,1udwFobQ1JoOdWPQrp2b6u,Surround Sound (feat. 21 Savage & Baby Tate),2022-10-31,0.0,4rJDCELWL0fjdmN9Gn4f4g,0,7,229938,0.164,1udwFobQ1JoOdWPQrp2b6u,modern,audio_features,37i9dQZF1DWTyiBJ6yEqeu
0.932,129.473,0.522,blues,-2.87,0.177,0.33,"Eminem, Lil Wayne",4,0.255,68,https://api.spotify.com/v1/tracks/7bHT9osSq1rwT2yaImzqCi,spotify:track:7bHT9osSq1rwT2yaImzqCi,Recovery,Classic Blues,https://api.spotify.com/v1/audio-analysis/7bHT9osSq1rwT2yaImzqCi,7bHT9osSq1rwT2yaImzqCi,No Love,2010-06-18,0.0,47BiFcV59TQi2s9SkBo2pb,1,11,299507,0.119,7bHT9osSq1rwT2yaImzqCi,classic,audio_features,5arFyak5nEhUf9kpsssXxT
0.761,128.046,0.722,pop,-4.46,0.315,0.624,"Maroon 5, Christina Aguilera",4,0.0475,79,https://api.spotify.com/v1/tracks/7pYfyrMNPn3wtoCyqcTVoI,spotify:track:7pYfyrMNPn3wtoCyqcTVoI,Hands All Over (Revised International Standard version),Throwback Party,https://api.spotify.com/v1/audio-analysis/7pYfyrMNPn3wtoCyqcTVoI,7pYfyrMNPn3wtoCyqcTVoI,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",2010,0.0,1snrPQMoTrBsKl73wzSxbn,0,11,201493,0.0119,7pYfyrMNPn3wtoCyqcTVoI,throwback,audio_features,37i9dQZF1DX7F6T2n2fegs
0.84,97.027,0.673,rock,-3.564,,0.94,Juanes,4,0.0559,72,https://api.spotify.com/v1/tracks/129lYDVKnWtlJc2PZJviuA,spotify:track:129lYDVKnWtlJc2PZJviuA,Un Día Normal,Spanish Rock Classics,https://api.spotify.com/v1/audio-analysis/129lYDVKnWtlJc2PZJviuA,129lYDVKnWtlJc2PZJviuA,A Dios Le Pido,2002-01-01,0.0,2UJCnSqpR3AIuTvWYZLCp1,1,7,205373,0.0683,129lYDVKnWtlJc2PZJviuA,spanish,audio_features,4pJvzaBmfEjNSEva1k2fkD
0.729,127.028,0.88,electronic,-6.378,0.185,0.246,nimino,4,0.176,79,https://api.spotify.com/v1/tracks/39glDGcpBhLVMSsQhvtqHR,spotify:track:39glDGcpBhLVMSsQhvtqHR,I Only Smoke When I Drink,Techno Bunker,https://api.spotify.com/v1/audio-analysis/39glDGcpBhLVMSsQhvtqHR,39glDGcpBhLVMSsQhvtqHR,I Only Smoke When I Drink,2024-08-22,0.0113,05iJvxOa8h8GjGPe5JnvDG,0,11,198425,0.334,39glDGcpBhLVMSsQhvtqHR,techno,audio_features,37i9dQZF1DX4uPi2roRUwU
0.731,97.007,0.751,rock,-4.419,0.0556,0.973,Juanes,4,0.0308,72,https://api.spotify.com/v1/tracks/2EM9zpAc7PVeoAydmbfVIL,spotify:track:2EM9zpAc7PVeoAydmbfVIL,Mi Sangre,Spanish Rock Classics,https://api.spotify.com/v1/audio-analysis/2EM9zpAc7PVeoAydmbfVIL,2EM9zpAc7PVeoAydmbfVIL,La Camisa Negra,2004-01-01,0.0,2HbvQeJXke68tjwOcsj8ne,0,6,216707,0.0838,2EM9zpAc7PVeoAydmbfVIL,spanish,audio_features,4pJvzaBmfEjNSEva1k2fkD
0.478,104.563,0.675,hip-hop,-10.201,0.127,0.39,"Tee Grizzley, J. Cole",4,0.512,69,https://api.spotify.com/v1/tracks/3rXlcLZk3MCaRPND5g9QiW,spotify:track:3rXlcLZk3MCaRPND5g9QiW,Blow for Blow (feat. J. Cole),RapCaviar,https://api.spotify.com/v1/audio-analysis/3rXlcLZk3MCaRPND5g9QiW,3rXlcLZk3MCaRPND5g9QiW,Blow for Blow (feat. J. Cole),2024-09-27,7.8e-06,3X327wwUvZhYQYlA6cfk9S,1,1,210286,0.0731,3rXlcLZk3MCaRPND5g9QiW,modern,audio_features,37i9dQZF1DX0XUsuxWHRQd
0.715,113.861,0.552,electronic,-9.291,0.0669,0.858,Macabre Plaza,4,0.0524,72,https://api.spotify.com/v1/tracks/5omLpU1N0uN51OSXL62VAM,spotify:track:5omLpU1N0uN51OSXL62VAM,Out With the Old in With the Taboo,Vaporwave Essentials,https://api.spotify.com/v1/audio-analysis/5omLpU1N0uN51OSXL62VAM,5omLpU1N0uN51OSXL62VAM,A Bird's Last Look,2022-04-21,0.702,2U1t2npZ1uy5A5fVabO69I,1,2,69565,0.0286,5omLpU1N0uN51OSXL62VAM,vaporwave,audio_features,37i9dQZF1EIdOtkojz5FWw
0.851,126.885,0.722,pop,-3.873,0.108,0.452,The Wanted,4,0.0639,76,https://api.spotify.com/v1/tracks/5yDL13y5giogKs2fSNf7sj,spotify:track:5yDL13y5giogKs2fSNf7sj,Battleground (Deluxe Edition),Throwback Party,https://api.spotify.com/v1/audio-analysis/5yDL13y5giogKs2fSNf7sj,5yDL13y5giogKs2fSNf7sj,Glad You Came,2011-01-01,0.0,2hnaJ8ktG2FSP1EthsCo6N,0,7,197936,0.0319,5yDL13y5giogKs2fSNf7sj,throwback,audio_features,37i9dQZF1DX7F6T2n2fegs
0.873,97.96,0.621,indie,-3.067,,0.873,Tame Impala,4,0.0369,79,https://api.spotify.com/v1/tracks/5hM5arv9KDbCHS0k9uqwjr,spotify:track:5hM5arv9KDbCHS0k9uqwjr,The Slow Rush,Australian Indie,https://api.spotify.com/v1/audio-analysis/5hM5arv9KDbCHS0k9uqwjr,5hM5arv9KDbCHS0k9uqwjr,Borderline,2020-02-14,9.1e-06,31qVWUdRrlb8thMvts0yYL,0,5,237800,0.0406,5hM5arv9KDbCHS0k9uqwjr,australian,audio_features,37i9dQZF1EIcLyY4fNNQaC
0.602,94.382,0.805,blues,-9.7,0.0581,0.744,Marvin Gaye,4,0.0579,73,https://api.spotify.com/v1/tracks/3VZmChrnVW8JK6ano4gSED,spotify:track:3VZmChrnVW8JK6ano4gSED,Midnight Love,Classic Blues,https://api.spotify.com/v1/audio-analysis/3VZmChrnVW8JK6ano4gSED,3VZmChrnVW8JK6ano4gSED,Sexual Healing,1982-10-01,0.000122,3gPlX9Zs3tXZZKNCyoOkSm,0,0,238600,0.119,3VZmChrnVW8JK6ano4gSED,classic,audio_features,5arFyak5nEhUf9kpsssXxT
0.901,113.967,0.621,rock,-5.396,,0.744,New Radicals,4,0.0302,74,https://api.spotify.com/v1/tracks/1Cwsd5xI8CajJz795oy4XF,spotify:track:1Cwsd5xI8CajJz795oy4XF,Maybe You've Been Brainwashed Too,Alternative Rock,https://api.spotify.com/v1/audio-analysis/1Cwsd5xI8CajJz795oy4XF,1Cwsd5xI8CajJz795oy4XF,You Get What You Give,1998-01-01,0.0,13btXEnBerpA1UjIVtsMAR,1,2,300773,0.17,1Cwsd5xI8CajJz795oy4XF,alternative,audio_features,4q2NzGlz5Nn6kB6Dh2vBKX
0.776,77.987,0.585,pop,-5.898,,0.427,Avril Lavigne,4,0.0459,81,https://api.spotify.com/v1/tracks/5xEM5hIgJ1jjgcEBfpkt2F,spotify:track:5xEM5hIgJ1jjgcEBfpkt2F,Let Go,Soft Pop Hits,https://api.spotify.com/v1/audio-analysis/5xEM5hIgJ1jjgcEBfpkt2F,5xEM5hIgJ1jjgcEBfpkt2F,Complicated,2002-06-04,7.74e-06,3zXjR3y2dUWklKmmp6lEhy,1,5,244507,0.0572,5xEM5hIgJ1jjgcEBfpkt2F,soft,audio_features,37i9dQZF1DWTwnEm1IYyoj
0.695,102.178,0.437,metal,-9.447,0.124,0.413,Metallica,3,0.0617,72,https://api.spotify.com/v1/tracks/5IX4TbIR5mMHGE4wiWwKW0,spotify:track:5IX4TbIR5mMHGE4wiWwKW0,...And Justice For All,Death Metal Essentials,https://api.spotify.com/v1/audio-analysis/5IX4TbIR5mMHGE4wiWwKW0,5IX4TbIR5mMHGE4wiWwKW0,One,1988-08-25,0.0857,6Eycw3dwcDMEFSqkUvLQ7g,1,7,447440,0.00111,5IX4TbIR5mMHGE4wiWwKW0,death,audio_features,37i9dQZF1DWWOaP4H0w5b0
0.742,114.071,0.773,gaming,-3.678,,0.571,Imagine Dragons,4,0.046,74,https://api.spotify.com/v1/tracks/0HqZX76SFLDz2aW8aiqi7G,spotify:track:0HqZX76SFLDz2aW8aiqi7G,Bones,Top Gaming Tracks,https://api.spotify.com/v1/audio-analysis/0HqZX76SFLDz2aW8aiqi7G,0HqZX76SFLDz2aW8aiqi7G,Bones,2022-03-11,0.0,1Q9SnHWPNEjVM0LrBFvJ1q,0,5,165265,0.0206,0HqZX76SFLDz2aW8aiqi7G,modern,audio_features,37i9dQZF1DWTyiBJ6yEqeu
0.545,159.94,0.545,r&b,-7.362,0.417,0.549,Frank Ocean,3,0.107,87,https://api.spotify.com/v1/tracks/3xKsf9qdS1CyvXSMEid6g8,spotify:track:3xKsf9qdS1CyvXSMEid6g8,Blonde,R&B Hits,https://api.spotify.com/v1/audio-analysis/3xKsf9qdS1CyvXSMEid6g8,3xKsf9qdS1CyvXSMEid6g8,Pink + White,2016-08-20,5.48e-05,3mH6qwIy9crq0I9YQbOuDf,1,9,184516,0.667,3xKsf9qdS1CyvXSMEid6g8,modern,audio_features,37i9dQZF1EQoqCH7BwIYb7
